age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,recency,avg_time_spent,monetary,frequency,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,tenure_months,visit_hour,login_spend_ratio,login_transaction_ratio,user_id,churn_risk_score
37.0,M,Town,Silver Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,-999.0000000000001,234.76,32740.58,8.0,206.0547441927692,No,Yes,Yes,Solved,Products always in Stock,-8,7,29.345,0.00024434509101549205,b9f7b7725db44afa,0
53.0,M,City,No Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,13.0,340.01,49711.97,16.0,556.3,No,Yes,No,Not Applicable,Poor Product Quality,-8,14,21.250625,0.0003218540725704493,973420a1a1da3cec,1
11.0,M,City,No Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,13.0,85.98999999999998,39515.73,22.0,502.76,No,Yes,Yes,Unsolved,Too many ads,-8,22,3.908636363636363,0.000556740315818536,88e0ce5f007872a2,1
20.0,M,Town,No Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,5.0,233.9,4457.889999999999,10.0,0.0,Yes,Yes,Yes,No Information Available,Poor Product Quality,-8,6,23.39,0.0022432137177005266,8f1c00dd63006913,1
22.0,M,Village,No Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15.0,103.15,6017.4100000000035,0.0,613.82,Yes,No,Yes,Solved,Poor Customer Service,-8,1,0.0,0.0,a2ce1d2ab2d4ae57,1
27.0,M,Town,No Membership,2025-01-01,No,Without Offers,Smartphone,Mobile_Data,5.0,184.3,2811.5600000000013,19.0,680.47,No,Yes,Yes,Unsolved,Poor Customer Service,-8,16,9.700000000000001,0.006757814167223887,ada2b3dcfea284f1,1
28.0,M,Town,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,136.25,47254.32,16.0,714.0,Yes,No,No,Not Applicable,Poor Product Quality,-8,19,8.515625,0.00033859338151517155,971f97b063a7f699,1
31.0,F,Town,No Membership,2025-01-01,Yes,Credit/Debit Card Offers,Both,Mobile_Data,-999.0000000000001,804.55,24317.28,16.0,663.91,Yes,Yes,Yes,Solved,Too many ads,-8,21,50.284375,0.0006579683254048151,bd9f9e6073fd6e66,1
51.0,M,City,Gold Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Wi-Fi,16.0,102.43,32562.23,7.0,612.58,Yes,No,No,Not Applicable,No reason specified,-8,4,14.632857142857144,0.0002149729917146338,84c9d0d4b496e585,1
54.0,F,Town,Platinum Membership,2025-01-01,No,Without Offers,Both,Wi-Fi,6.0,477.28,16030.000000000002,18.0,799.83,Yes,No,Yes,Solved,Poor Product Quality,-8,8,26.515555555555554,0.0011228945726762319,ba341ed2f0a0241f,0
47.0,F,Town,No Membership,2025-01-01,Yes,Without Offers,Desktop,Fiber_Optic,7.0,623.14,6577.579999999998,12.0,573.23,Yes,No,No,Not Applicable,Poor Product Quality,-8,9,51.928333333333335,0.0018243791789685573,8002b0af050b8c03,1
55.0,M,City,Gold Membership,2025-01-01,Yes,Without Offers,Smartphone,Fiber_Optic,4.0,0.0,39265.43,8.0,678.46,Yes,Yes,No,Not Applicable,Poor Website,-8,1,0.0,0.00020374156096087577,977d8f8d51643a47,1
51.0,M,Town,Basic Membership,2025-01-01,Yes,Without Offers,Both,Wi-Fi,16.0,280.72,36511.13,0.0,613.25,Yes,No,No,Not Applicable,No reason specified,-8,14,0.0,0.0,9253b3acab7d00da,1
54.0,F,Town,Silver Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,10.0,127.23000000000002,1972.9900000000016,25.0,786.43,Yes,No,No,Not Applicable,Poor Website,-8,20,5.089200000000001,0.012671123523180543,9439b6e5c4a12e52,0
47.0,M,City,No Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,16.0,34.00999999999999,15645.0,28.0,0.0,Yes,No,Yes,Unsolved,Poor Product Quality,-8,0,1.214642857142857,0.0017897091722595079,afa2095e1b800100,1
19.0,F,City,No Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,2.0,97.11000000000001,46776.66,40.66717303389029,500.11,Yes,No,Yes,Solved,Poor Website,-8,18,2.3879210861072804,0.0008693902692900752,8616c00a14b4c7c4,1
26.0,M,Town,Basic Membership,2025-01-01,Yes,Without Offers,Both,Wi-Fi,15.0,594.1,43607.1,25.0,0.0,No,Yes,Yes,Solved,Poor Customer Service,-8,5,23.764,0.0005733011367414939,b1e67148376fd3b2,1
10.0,F,Town,Silver Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,8.0,32.56999999999999,5124.82,13.0,638.99,No,Yes,Yes,Solved,Poor Website,-8,1,2.5053846153846147,0.0025366744588102607,a1d379cc8bc8d889,1
47.0,M,City,No Membership,2025-01-01,No,Without Offers,Smartphone,Fiber_Optic,13.0,179.91,20275.47,28.0,523.45,No,Yes,No,Not Applicable,Poor Product Quality,-8,11,6.425357142857143,0.0013809790845785571,9a3cf219b5cb8598,1
63.0,M,Village,Basic Membership,2025-01-01,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,20.999999999999993,34.48000000000002,6818.700000000001,8.0,708.78,Yes,No,Yes,Solved in Follow-up,Poor Website,-8,8,4.310000000000002,0.0011732441667766582,b7763045d04f0a2d,1
38.0,F,Town,Silver Membership,2025-01-01,Yes,Without Offers,Both,Wi-Fi,19.000000000000007,689.28,9639.760000000002,27.0,759.36,Yes,Yes,Yes,Solved in Follow-up,Poor Website,-8,7,25.528888888888886,0.0028008996074591064,95be7d4388b3d4e8,0
37.0,M,City,Platinum Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Mobile_Data,11.0,60.670000000000016,22999.84,28.0,735.23,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,-8,21,2.166785714285715,0.0012173997732158137,9c2391d8e3362a5d,0
17.0,F,Town,No Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8.0,227.21,45301.3,12.0,591.19,No,Yes,Yes,Solved,Poor Website,-8,14,18.934166666666666,0.00026489306046404847,8ffeacfeaab57921,1
37.0,M,City,Silver Membership,2025-01-01,No,Without Offers,Smartphone,Mobile_Data,8.0,446.24,79115.95,18.0,757.41,Yes,Yes,Yes,Solved in Follow-up,Reasonable Price,-8,2,24.79111111111111,0.0002275141738170369,99c025d7eaa3e3a8,0
32.0,M,City,Basic Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Wi-Fi,-999.0000000000001,292.15,6982.380000000001,29.0,714.72,Yes,No,Yes,Solved in Follow-up,Poor Website,-8,22,10.074137931034482,0.004153311621538787,bcf885dc410a85f3,1
30.0,M,Town,Silver Membership,2025-01-01,Yes,Without Offers,Desktop,Mobile_Data,4.0,32.079999999999984,30469.88,25.0,649.59,Yes,No,No,Not Applicable,Too many ads,-8,1,1.2831999999999995,0.0008204823911351144,88980c5d2f332bb2,1
26.0,F,Town,No Membership,2025-01-01,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,-999.0000000000001,104.29000000000002,40063.88,17.0,1481.1330072461533,No,Yes,Yes,Solved in Follow-up,No reason specified,-8,20,6.134705882352942,0.0004243223571955587,a699e8a023cc4091,1
36.0,F,City,Silver Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,17.0,34.75999999999996,15812.47,29.0,760.58,No,Yes,No,Not Applicable,Too many ads,-8,16,1.1986206896551712,0.0018339955743789554,9243131f45393dd4,0
30.0,F,Town,No Membership,2025-01-01,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,4.0,1156.93,12559.649999999998,28.0,1018.0393827769014,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,-8,9,41.31892857142857,0.0022293614869841123,a45a04af303788ed,1
32.0,M,City,Silver Membership,2025-01-01,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,14.0,82.1,28868.51,23.0,724.93,Yes,No,No,Not Applicable,No reason specified,-8,5,3.569565217391304,0.0007967158679128227,9d4981f498300a20,0
40.0,F,City,Premium Membership,2025-01-01,Yes,Without Offers,Desktop,Mobile_Data,15.0,171.13,38453.9,15.0,161.06886422796742,Yes,No,No,Not Applicable,Poor Product Quality,-8,23,11.408666666666667,0.0003900774693854199,a52544c3c5a79db2,0
28.0,F,City,No Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,2.0,0.0,11884.25,26.0,679.55,No,Yes,Yes,No Information Available,Poor Website,-8,2,0.0,0.00218776952689484,873c770e7668e91d,1
18.0,F,Town,Gold Membership,2025-01-01,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,-999.0000000000001,555.85,4763.049999999999,11.0,702.35,Yes,No,Yes,No Information Available,No reason specified,-8,10,50.53181818181818,0.0023094445785788523,8ef247da7434a642,1
41.0,M,Town,Platinum Membership,2025-01-01,No,Without Offers,Desktop,Fiber_Optic,9.0,1507.736926678125,35851.82,28.0,788.99,Yes,Yes,No,Not Applicable,Too many ads,-8,12,53.84774738136161,0.0007809924293941005,a3567468cf2c42a7,0
54.0,M,City,Premium Membership,2025-01-01,No,Credit/Debit Card Offers,Both,Fiber_Optic,10.0,430.23,78654.7,18.0,847.42,Yes,Yes,Yes,No Information Available,Reasonable Price,-8,8,23.901666666666667,0.00022884837142599234,98c874c850825ae3,0
58.0,F,City,Platinum Membership,2025-01-01,Yes,Without Offers,Smartphone,Wi-Fi,6.0,275.45,64147.600000000006,0.0,843.37,Yes,Yes,Yes,Solved,Products always in Stock,-8,7,0.0,0.0,a7daa95af01fe37a,0
60.0,F,City,No Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,14.0,127.4,11956.89,0.0,685.35,No,Yes,No,Not Applicable,Poor Customer Service,-8,3,0.0,0.0,af8025e90519276d,1
41.0,F,City,Silver Membership,2025-01-01,Yes,Without Offers,Desktop,Mobile_Data,22.0,145.13,18837.18,29.0,765.42,Yes,No,No,Not Applicable,Too many ads,-8,17,5.004482758620689,0.0015395085676306113,ba90c3fc61e2db07,0
46.0,M,City,No Membership,2025-01-01,No,Without Offers,Smartphone,Fiber_Optic,17.0,350.59,41494.65,25.0,570.84,Yes,Yes,No,Not Applicable,Poor Customer Service,-8,6,14.023599999999998,0.0006024873086048442,b6e610d9f42c16db,1
48.0,M,City,Silver Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,10.0,352.66,14657.6,7.0,784.13,No,Yes,Yes,No Information Available,No reason specified,-8,15,50.38,0.0004775679510970418,bd27df41b235a501,0
29.0,M,City,Platinum Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12.0,183.94,4977.009999999998,0.0,732.04,Yes,No,Yes,Solved in Follow-up,Too many ads,-8,8,0.0,0.0,9ca26259dc3e0582,0
21.0,M,City,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,16.0,0.0,37817.64,18.0,693.41,No,Yes,No,Not Applicable,Poor Website,-8,23,0.0,0.0004759683576235852,9fc7c931fcba7100,1
25.0,F,City,Gold Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10.0,106.99000000000001,39051.49,3.0,751.71,No,Yes,Yes,No Information Available,Quality Customer Care,-8,20,35.663333333333334,7.682165264372756e-05,9d46022fc78d7091,0
46.0,M,City,Gold Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,11.0,120.59,25398.64,12.0,0.0,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,-8,1,10.049166666666666,0.0004724662422869886,b5ed0962b679c700,1
44.0,M,City,Silver Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,9.0,825.0457710993196,25474.26,0.0,607.75,Yes,No,No,Not Applicable,No reason specified,-8,13,0.0,0.0,89d9139a838cffb5,1
62.0,M,City,No Membership,2025-01-01,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,23.0,2290.472306275989,45794.72,32.92979253382006,285.48502091549256,Yes,No,No,Not Applicable,Too many ads,-8,21,69.55623251873187,0.0007190740009726025,814e7ec37577a5b6,1
46.0,M,Town,Gold Membership,2025-01-01,No,Without Offers,Desktop,Wi-Fi,11.0,30.349999999999994,33046.69,14.0,795.3,Yes,No,No,Not Applicable,User Friendly Website,-8,3,2.1678571428571423,0.00042364303353830594,b6e9a1d5d9be78a0,0
58.0,M,City,Premium Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,20.999999999999993,44.93000000000001,10850.670000000002,0.0,758.94,No,Yes,Yes,Solved,Poor Customer Service,-8,18,0.0,0.0,9073152dfa106185,0
31.0,M,Town,Silver Membership,2025-01-01,Yes,Without Offers,Desktop,Wi-Fi,13.0,132.82,18736.38,29.0,714.26,Yes,No,No,Not Applicable,Poor Customer Service,-8,13,4.58,0.0015477909820360175,b0055e279661e53c,0
18.0,M,City,Platinum Membership,2025-01-01,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10.0,561.61,17680.46,15.0,524.0165195069313,No,Yes,No,Not Applicable,Poor Product Quality,-8,14,37.440666666666665,0.0008483942159875931,aef58c8d8e3788d7,0
32.0,F,Town,Basic Membership,2025-01-01,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,7.0,83.55000000000001,29339.54,23.0,936.705753072249,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,-8,9,3.6326086956521744,0.0007839250376795273,90237c36c620faa6,1
50.0,M,Town,Platinum Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,12.0,57.150000000000006,32404.95,20.0,408.20458142137977,Yes,No,No,Not Applicable,No reason specified,-8,10,2.8575000000000004,0.0006171896577529051,bafbd2284e241ef8,0
10.0,F,Town,Gold Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,-999.0000000000001,1160.6403378969674,43113.35,15.0,0.0,No,Yes,Yes,Solved in Follow-up,No reason specified,-8,14,77.3760225264645,0.0003479200758001872,b01fcde4ae359e45,0
15.0,M,Town,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,3.0,106.19000000000003,49695.03999999999,5.0,1089.6862130825068,Yes,No,No,Not Applicable,Poor Product Quality,-8,2,21.238000000000007,0.00010061366285246979,85c73c0249b198ff,0
31.0,F,Town,Basic Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,12.0,30.680000000000007,35380.09,4.361249747228872,582.78,Yes,No,No,Not Applicable,No reason specified,-8,10,7.034680831909251,0.00012326847521385253,b9115936c495b745,1
10.0,M,City,Gold Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11.0,77.15,36571.58,24.0,744.01,Yes,No,No,Not Applicable,Poor Product Quality,-8,7,3.2145833333333336,0.0006562472827260949,a89a6bbce79c76e3,0
25.0,F,City,Gold Membership,2025-01-01,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,18.0,508.62,43685.62,8.0,698.51,No,Yes,Yes,No Information Available,No reason specified,-8,3,63.5775,0.00018312662152900655,a368d176896f6c1b,0
57.0,F,Town,Basic Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,358.57,26612.66,8.0,516.53,Yes,Yes,No,Not Applicable,Poor Website,-8,13,44.82125,0.00030060880798837847,b221b558b181b466,1
14.0,M,Town,Premium Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8.0,88.66,96886.96,14.0,725.56,No,Yes,Yes,No Information Available,Quality Customer Care,-8,13,6.332857142857143,0.00014449828955310394,b881a3fdb4a72ddd,0
21.0,M,Town,Basic Membership,2025-01-01,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,11.0,52.94999999999999,38441.48,11.0,548.72,Yes,No,Yes,Solved,Poor Product Quality,-8,2,4.813636363636363,0.00028614923254775826,a071f960f25bf22e,1
12.0,F,City,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11.0,0.0,8724.75,5.0,656.57,Yes,No,No,Not Applicable,Poor Customer Service,-8,15,0.0,0.0005730823232757386,972f4759dad8e134,1
50.0,M,Town,Basic Membership,2025-01-01,No,Without Offers,Desktop,Fiber_Optic,8.0,56.900000000000006,28610.12,5.0,628.2,No,Yes,Yes,No Information Available,Too many ads,-8,19,11.38,0.000174763335491078,9058160c361307ac,1
31.0,M,City,Gold Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Mobile_Data,22.0,285.88,29923.02,28.0,698.61,Yes,No,Yes,No Information Available,Poor Website,-8,8,10.209999999999999,0.0009357344278752613,a685e1abcda4f18b,1
27.0,M,Town,No Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8.0,339.89,4836.709999999999,18.0,227.02597497105785,Yes,No,No,Not Applicable,Poor Customer Service,-8,5,18.882777777777775,0.003721537987599009,a22c8b894a6a3721,1
31.0,M,City,Platinum Membership,2025-01-01,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12.0,475.70000000000005,22822.23,9.0,784.28,Yes,No,No,Not Applicable,Quality Customer Care,-8,4,52.85555555555556,0.0003943523485654119,bc297235b57454af,0
38.0,M,Town,No Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,24.0,75.55000000000004,33512.23,11.0,706.43,No,Yes,No,Not Applicable,Poor Customer Service,-8,8,6.868181818181822,0.00032823837745205253,9d74044c63c46e5e,1
35.0,F,Town,Basic Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,26.0,278.71,16160.9,17.0,535.17,No,Yes,No,Not Applicable,Poor Product Quality,-8,4,16.39470588235294,0.0010519216132764883,822ae03375ffdf46,1
19.0,F,City,Basic Membership,2025-01-01,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,4.0,119.9,10759.560000000001,0.0,627.93,No,Yes,Yes,No Information Available,Poor Website,-8,1,0.0,0.0,a33dd58888cb4626,1
27.0,M,Town,Gold Membership,2025-01-02,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,16.0,41.02000000000001,45672.61,23.0,717.81,No,Yes,No,Not Applicable,No reason specified,-8,15,1.7834782608695656,0.0005035840955881435,96b176d906d51caf,0
10.0,F,City,Gold Membership,2025-01-02,No,Without Offers,Both,Mobile_Data,22.0,305.36,18049.15,25.0,715.0,Yes,No,No,Not Applicable,Poor Website,-8,7,12.214400000000001,0.0013851067778815067,a42d6a2225569d07,0
14.0,M,Town,Basic Membership,2025-01-02,No,Credit/Debit Card Offers,Desktop,Mobile_Data,13.0,0.0,18505.59,5.0,717.25,No,Yes,No,Not Applicable,Poor Customer Service,-8,11,0.0,0.000270188629489792,96ab6c868f7a0db3,1
23.0,M,City,Gold Membership,2025-01-02,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,2.0,31.22,17001.02,25.0,738.66,Yes,No,No,Not Applicable,Poor Website,-8,10,1.2488,0.0014705000052938,997e370d77926871,0
27.0,F,City,Basic Membership,2025-01-02,No,Credit/Debit Card Offers,Desktop,Wi-Fi,18.0,336.06,12716.31,22.0,0.0,Yes,No,Yes,Unsolved,Too many ads,-8,22,15.275454545454545,0.0017300616295135933,91bfcf1cae791e89,1
47.0,F,City,Premium Membership,2025-01-02,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,14.0,30.860000000000014,14699.28,28.0,1150.4268773742665,Yes,No,No,Not Applicable,Poor Customer Service,-8,4,1.1021428571428575,0.0019048552037922945,bf8b69526db39931,0
42.0,F,City,Platinum Membership,2025-01-02,No,Without Offers,Smartphone,Wi-Fi,12.0,416.03,95678.36,8.0,0.0,No,Yes,Yes,No Information Available,User Friendly Website,-8,2,52.00375,8.361347330786188e-05,85526625acf4b3b5,0
34.0,M,Town,Gold Membership,2025-01-02,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14.0,0.0,44907.03,0.0,796.0,No,Yes,No,Not Applicable,Too many ads,-8,1,0.0,0.0,8d0025e9e72ba3f1,0
64.0,M,Town,Premium Membership,2025-01-02,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16.0,138.41,13107.59,18.0,1030.0275992203376,Yes,No,Yes,Solved in Follow-up,Poor Website,-8,6,7.689444444444444,0.0013732501550628299,bfffc5be8b210d69,0
60.0,F,Town,Basic Membership,2025-01-02,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,12.0,365.01,46625.25,6.0,605.44,No,Yes,Yes,Unsolved,No reason specified,-8,3,60.835,0.00012868563707433203,9f687f2dcda1639b,1
53.0,M,Town,Premium Membership,2025-01-02,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2.0,1207.56,59893.850000000006,13.0,530.4248372696057,No,Yes,Yes,Unsolved,User Friendly Website,-8,13,92.88923076923076,0.0002170506654689922,9c7abb05507af33e,0
58.0,M,Town,Premium Membership,2025-01-02,No,Without Offers,Smartphone,Mobile_Data,23.0,188.8,2195.4000000000015,1.9999999999999982,811.01,No,Yes,No,Not Applicable,User Friendly Website,-8,15,94.40000000000009,0.0009109957183201225,9439e65af464c526,0
38.0,F,Town,Premium Membership,2025-01-02,Yes,Without Offers,Smartphone,Mobile_Data,12.0,1365.20019816972,30243.16,5.0,1155.4967213396114,No,Yes,Yes,Solved,No reason specified,-8,18,273.040039633944,0.0001653266391474965,be0e8c1ceba6ee0a,0
42.0,F,City,No Membership,2025-01-02,Yes,Without Offers,Smartphone,Fiber_Optic,11.0,288.8,3625.25,23.0,540.67,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,-8,8,12.556521739130435,0.006344390042066064,b761d288e4e74363,1
15.0,M,City,Silver Membership,2025-01-02,No,Without Offers,Smartphone,Wi-Fi,15.0,336.52,42647.7,15.0,712.68,Yes,No,No,Not Applicable,Quality Customer Care,-8,8,22.434666666666665,0.000351718850020048,b23df436c4230c9c,0
28.0,M,Village,Basic Membership,2025-01-02,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,20.999999999999993,75.79000000000002,22187.58,5.0,645.11,No,Yes,Yes,Unsolved,Poor Website,-8,2,15.158000000000005,0.00022535130014179102,9678156d87dc02fb,1
